Model,Scenario,Region,Category,Stack family,Name,Standardized Unit,Unit of Entry,Conversion factor,Definition,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070
,,,Electricity,Capacity additions by technology,Coal with CCS,GW/yr,,,,,,,,,,,,,,,,,
,,,Electricity,Capacity additions by technology,Gas,GW/yr,,,,,,,,,,,,,,,,,
,,,Electricity,Capacity additions by technology,Gas with CCS,GW/yr,,,,,,,,,,,,,,,,,
,,,Electricity,Capacity additions by technology,Oil,GW/yr,,,,,,,,,,,,,,,,,
,,,Electricity,Capacity additions by technology,Oil with CCS,GW/yr,,,,,,,,,,,,,,,,,
,,,Electricity,Capacity additions by technology,Solar,GW/yr,,,,,,,,,,,,,,,,,
,,,Electricity,Capacity additions by technology,Wind,GW/yr,,,,,,,,,,,,,,,,,
,,,Electricity,Capacity additions by technology,Biomass,GW/yr,,,,,,,,,,,,,,,,,
,,,Electricity,Capacity additions by technology,Nuclear,GW/yr,,,,,,,,,,,,,,,,,
,,,Electricity,Capacity additions by technology,Geothermal,GW/yr,,,,,,,,,,,,,,,,,
,,,Electricity,Generation by technology,Coal,EJ/yr,,,,,,,,,,,,,,,,,
,,,Electricity,Generation by technology,Coal with CCS,EJ/yr,,,,,,,,,,,,,,,,,
,,,Electricity,Generation by technology,Gas,EJ/yr,,,,,,,,,,,,,,,,,
,,,Electricity,Generation by technology,Gas with CCS,EJ/yr,,,,,,,,,,,,,,,,,
,,,Electricity,Generation by technology,Oil,EJ/yr,,,,,,,,,,,,,,,,,
,,,Electricity,Generation by technology,Oil with CCS,EJ/yr,,,,,,,,,,,,,,,,,
,,,Electricity,Generation by technology,Solar,EJ/yr,,,,,,,,,,,,,,,,,
,,,Electricity,Generation by technology,Wind,EJ/yr,,,,,,,,,,,,,,,,,
,,,Electricity,Generation by technology,Biomass,EJ/yr,,,,,,,,,,,,,,,,,
,,,Electricity,Generation by technology,Nuclear,EJ/yr,,,,,,,,,,,,,,,,,
,,,Electricity,Generation by technology,Geothermal,EJ/yr,,,,,,,,,,,,,,,,,
,,,Industry,Emissions by sub-sector,Iron and Steel,Gt CO2e/yr,,,,,,,,,,,,,,,,,
,,,Industry,Emissions by sub-sector,Chemicals,Gt CO2e/yr,,,,,,,,,,,,,,,,,
,,,Industry,Emissions by sub-sector,Cement,Gt CO2e/yr,,,,,,,,,,,,,,,,,
,,,Industry,Emissions by sub-sector,Mining,Gt CO2e/yr,,,,,,,,,,,,,,,,,
,,,Industry,Emissions by sub-sector,Refineries,Gt CO2e/yr,,,,,,,,,,,,,,,,,
,,,Industry,Emissions by sub-sector,Waste,Gt CO2e/yr,,,,,,,,,,,,,,,,,
,,,Industry,Emissions by sub-sector,Agriculture,Gt CO2e/yr,,,,,,,,,,,,,,,,,
,,,Industry,Emissions by sub-sector,Natural Gas,Gt CO2e/yr,,,,,,,,,,,,,,,,,
,,,Industry,,,,,,,,,,,,,,,,,,,,
,,,Industry,,,,,,,,,,,,,,,,,,,,
,,,Industry,,,,,,,,,,,,,,,,,,,,
