ESP indicator name,*model* Indicator name,Stackable sub-category?,Standardized Unit,Unit of Entry,Conversion factor,Definition
Emissions|CO2 by sector|buildings ,,,Mt CO2e/yr,,,carbon dioxide emissions from the residential & commercial sector
Emissions|CO2 by sector|carbon capture and storage,,,Mt CO2e/yr,,,
Emissions|CO2 by sector|electricity,,,Mt CO2e/yr,,,carbon dioxide emissions from electric power generation
Emissions|CO2 by sector|Fuel Consumption,,,Mt CO2e/yr,,,
Emissions|CO2 by sector|Fugitive Emissions from Fuels,,,Mt CO2e/yr,,,
Emissions|CO2 by sector|industry ,,,Mt CO2e/yr,,,"carbon dioxide emissions from the industrial sector, including feedstocks, including agriculture and fishing"
Emissions|CO2 by sector|land use and forestry,,,Mt CO2e/yr,,,carbon dioxide emissions from land use and forestry
Emissions|CO2 by sector|Non-electricity energy demand,,,Mt CO2e/yr,,,
Emissions|CO2 by sector|Non-electricity energy supply,,,Mt CO2e/yr,,,"carbon dioxide emissions from heat generation, other energy conversion (e.g. refineries, synfuel production), resource extration and energy transmission and distribution (e.g. gas pipelines) (excludes electricity)"
Emissions|CO2 by sector|Other,,,Mt CO2e/yr,,,
Emissions|CO2 by sector|transport,,,Mt CO2e/yr,,,carbon dioxide emissions from the transportation sector and bunker fuels (excluding pipelines)
Emissions|CO2 by sector|waste,,,Mt CO2e/yr,,,
Emissions|Energy Related CO2 Emissions by Fuel|Biofuel Diesel,,,Mt CO2e/yr,,,
Emissions|Energy Related CO2 Emissions by Fuel|Biofuel Gasoline,,,Mt CO2e/yr,,,
Emissions|Energy Related CO2 Emissions by Fuel|Biomass,,,Mt CO2e/yr,,,
Emissions|Energy Related CO2 Emissions by Fuel|Electricity,,,Mt CO2e/yr,,,
Emissions|Energy Related CO2 Emissions by Fuel|Geothermal,,,Mt CO2e/yr,,,
Emissions|Energy Related CO2 Emissions by Fuel|Hard Coal,,,Mt CO2e/yr,,,
Emissions|Energy Related CO2 Emissions by Fuel|Heat,,,Mt CO2e/yr,,,
Emissions|Energy Related CO2 Emissions by Fuel|Hydro,,,Mt CO2e/yr,,,
Emissions|Energy Related CO2 Emissions by Fuel|Jet Fuel,,,Mt CO2e/yr,,,
Emissions|Energy Related CO2 Emissions by Fuel|Lignite,,,Mt CO2e/yr,,,
Emissions|Energy Related CO2 Emissions by Fuel|Natural Gas,,,Mt CO2e/yr,,,
Emissions|Energy Related CO2 Emissions by Fuel|Nuclear,,,Mt CO2e/yr,,,
Emissions|Energy Related CO2 Emissions by Fuel|Petroleum Diesel,,,Mt CO2e/yr,,,
Emissions|Energy Related CO2 Emissions by Fuel|Petroleum Gasoline,,,Mt CO2e/yr,,,
Emissions|Energy Related CO2 Emissions by Fuel|Solar,,,Mt CO2e/yr,,,
Emissions|Energy Related CO2 Emissions by Fuel|Wind,,,Mt CO2e/yr,,,
Emissions|GHG Emissions by gas with LULUCF|CH4,,,Mt CO2e/yr,,,
Emissions|GHG Emissions by gas with LULUCF|CO2,,,Mt CO2e/yr,,,
Emissions|GHG Emissions by gas with LULUCF|HFCs,,,Mt CO2e/yr,,,
Emissions|GHG Emissions by gas with LULUCF|N2O,,,Mt CO2e/yr,,,
Emissions|GHG Emissions by gas with LULUCF|PFCs,,,Mt CO2e/yr,,,
Emissions|GHG Emissions by gas with LULUCF|SF6,,,Mt CO2e/yr,,,
Emissions|GHG Emissions by gas without LULUCF|CH4,,,Mt CO2e/yr,,,
Emissions|GHG Emissions by gas without LULUCF|CO2,,,Mt CO2e/yr,,,
Emissions|GHG Emissions by gas without LULUCF|HFCs,,,Mt CO2e/yr,,,
Emissions|GHG Emissions by gas without LULUCF|N2O,,,Mt CO2e/yr,,,
Emissions|GHG Emissions by gas without LULUCF|PFCs,,,Mt CO2e/yr,,,
Emissions|GHG Emissions by gas without LULUCF|SF6,,,Mt CO2e/yr,,,
Emissions|GHG Emissions by gas|CH4,,,Mt CO2e/yr,,,total anthropogenic methane emissions
Emissions|GHG Emissions by gas|CO2,,,Mt CO2e/yr,,,"total anthropogenic carbon dioxide emissions, including emissions from fossil fuel combustion, industrial processes and land-use change"
Emissions|GHG Emissions by gas|CO2e,,,Mt CO2e/yr,,,"total anthropogenic carbon dioxide emissions, including emissions from fossil fuel combustion, industrial processes and land-use change"
Emissions|GHG Emissions by gas|F-gases,,,Mt CO2e/yr,,,"total F-gas emissions, including sulfur hexafluoride (SF6), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs) "
Emissions|GHG Emissions by gas|N2O,,,Mt CO2e/yr,,,total anthropogenic nitrous oxide emissions
Emissions|Pollutants|BC,,,thousand metric tons/yr,,,
Emissions|Pollutants|CO,,,million metric tons/yr,,,
Emissions|Pollutants|Nox,,,million metric tons/yr,,,
Emissions|Pollutants|OC,,,thousand metric tons/yr,,,
Emissions|Pollutants|PM10,,,thousand metric tons/yr,,,
Emissions|Pollutants|PM2.5,,,thousand metric tons/yr,,,
Emissions|Pollutants|Sulfur,,,million metric tons/yr,,,
Emissions|Pollutants|VOC,,,thousand metric tons/yr,,,
Emissions|Total CO2e,,,Mt CO2e/yr,,,
Emissions|Total GHG Emissions|Excluding LULUCF,,,Mt CO2e/yr,,,
Emissions|Total GHG Emissions|Including LULUCF,,,Mt CO2e/yr,,,
Energy|Energy use by fuel|Biofuel Diesel,,,EJ/yr,,,
Energy|Energy use by fuel|Biofuel Gasoline,,,EJ/yr,,,
Energy|Energy use by fuel|Biomass,,,EJ/yr,,,
Energy|Energy use by fuel|Biomass w/ CCS,,,EJ/yr,,,
Energy|Energy use by fuel|Biomass w/o CCS,,,EJ/yr,,,
Energy|Energy use by fuel|Coal,,,EJ/yr,,,
Energy|Energy use by fuel|Coal w/ CCS,,,EJ/yr,,,
Energy|Energy use by fuel|Coal w/o CCS,,,EJ/yr,,,
Energy|Energy use by fuel|Fossil Fuels,,,EJ/yr,,,
Energy|Energy use by fuel|Fossil Fuels w/ CCS,,,EJ/yr,,,
Energy|Energy use by fuel|Fossil Fuels w/o CCS,,,EJ/yr,,,
Energy|Energy use by fuel|Gas,,,EJ/yr,,,
Energy|Energy use by fuel|Gas w/ CCS,,,EJ/yr,,,
Energy|Energy use by fuel|Gas w/o CCS,,,EJ/yr,,,
Energy|Energy use by fuel|Gases,,,EJ/yr,,,
Energy|Energy use by fuel|Geothermal,,,EJ/yr,,,
Energy|Energy use by fuel|Hydro,,,EJ/yr,,,
Energy|Energy use by fuel|Hydrogen,,,EJ/yr,,,
Energy|Energy use by fuel|Jet Fuel,,,EJ/yr,,,
Energy|Energy use by fuel|Lignite,,,EJ/yr,,,
Energy|Energy use by fuel|Liquids,,,EJ/yr,,,
Energy|Energy use by fuel|Nuclear,,,EJ/yr,,,
Energy|Energy use by fuel|Oil w/ CCS,,,EJ/yr,,,
Energy|Energy use by fuel|Oil w/o CCS,,,EJ/yr,,,
Energy|Energy use by fuel|Other,,,EJ/yr,,,
Energy|Energy use by fuel|Peat,,,EJ/yr,,,
Energy|Energy use by fuel|Petroleum Diesel,,,EJ/yr,,,
Energy|Energy use by fuel|Petroleum Gasoline,,,EJ/yr,,,
Energy|Energy use by fuel|Solar,,,EJ/yr,,,
Energy|Energy use by fuel|Solids,,,EJ/yr,,,
Energy|Energy use by fuel|Wind,,,EJ/yr,,,
Energy|Energy use by sector|<fill in sectors>,,,EJ/yr,,,
Energy|Energy use by sector|Agriculture,,,EJ/yr,,,
Energy|Energy use by sector|Buildings,,,EJ/yr,,,
Energy|Energy use by sector|Electricity,,,EJ/yr,,,
Energy|Energy use by sector|Greenhouse gas removal,,,EJ/yr,,,
Energy|Energy use by sector|Industry,,,EJ/yr,,,
Energy|Energy use by sector|Land Use and Forestry,,,EJ/yr,,,
Energy|Energy use by sector|Other,,,EJ/yr,,,
Energy|Energy use by sector|Total energy consumption,,,EJ/yr,,,
Energy|Energy use by sector|Transport,,,EJ/yr,,,
Energy|Energy use by sector|Waste,,,EJ/yr,,,
Energy|Primary Energy Use|Biofuel Diesel,,,EJ/yr,,,conventional & unconventional oil primary energy consumption used in combination with CCS
Energy|Primary Energy Use|Biofuel Gasoline,,,EJ/yr,,,conventional & unconventional oil primary energy consumption used in combination with CCS
Energy|Primary Energy Use|Biomass,,,EJ/yr,,,
Energy|Primary Energy Use|Biomass w/ CCS,,,EJ/yr,,,
Energy|Primary Energy Use|Biomass w/o CCS,,,EJ/yr,,,"primary energy consumption of purpose-grown bioenergy crops, crop and forestry residue bioenergy, municipal solid waste bioenergy, traditional biomass without CCS"
Energy|Primary Energy Use|Coal,,,EJ/yr,,,
Energy|Primary Energy Use|Coal w/ CCS,,,EJ/yr,,,
Energy|Primary Energy Use|Coal w/o CCS,,,EJ/yr,,,coal primary energy consumption used in combination with CCS
Energy|Primary Energy Use|Electricity,,,EJ/yr,,,
Energy|Primary Energy Use|Fossil,,,EJ/yr,,,
Energy|Primary Energy Use|Fossil w/ CCS,,,EJ/yr,,,
Energy|Primary Energy Use|Fossil w/o CCS,,,EJ/yr,,,
Energy|Primary Energy Use|Gas,,,EJ/yr,,,
Energy|Primary Energy Use|Gas w/ CCS,,,EJ/yr,,,
Energy|Primary Energy Use|Gas w/o CCS,,,EJ/yr,,,gas primary energy consumption used in combination with CCS
Energy|Primary Energy Use|Geothermal,,,EJ/yr,,,total geothermal primary energy consumption
Energy|Primary Energy Use|Heat,,,EJ/yr,,,
Energy|Primary Energy Use|Hydro,,,EJ/yr,,,
Energy|Primary Energy Use|Jet Fuel,,,EJ/yr,,,conventional & unconventional oil primary energy consumption used in combination with CCS
Energy|Primary Energy Use|Lignite,,,EJ/yr,,,coal primary energy consumption used in combination with CCS
Energy|Primary Energy Use|Nuclear,,,EJ/yr,,,"nuclear primary energy consumption (direct equivalent, includes electricity, heat and hydrogen production from nuclear energy)"
Energy|Primary Energy Use|Oil,,,EJ/yr,,,
Energy|Primary Energy Use|Oil w/ CCS,,,EJ/yr,,,
